noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT129051.2,ENST00000521951,lncipedia,lnc-MYC-2-4_dup1,0.057430744,0.819964688,0.729947032,0,4,0.439710644,12.06927037,1.988521201,0,24
NONHSAT129052.2,ENST00000517525,lncipedia,lnc-MYC-2-5_dup1,0.032573489,0.992507017,0.985014034,6,3,0.17865929,21.27948824,0.845885004,0,24
NONHSAT129062.2,NONHSAT129062.2,lncipedia,lnc-MYC-2-13_dup1,0.051328048,0.852983076,0.779474614,0,4,1.951512331,13.50425757,1.777217287,0,24
NONHSAT129264.2,NONHSAT129264.2,lncipedia,lnc-ZFAT-1-2_dup1,0.070399045,0.992011713,0.984023426,6,3,0.012338363,9.845974159,1.828158363,0,24
NONHSAT129370.2,NONHSAT129370.2,lncipedia,"lnc-EIF2C2-1-1_dup1,lnc-EIF2C2-1-1",0.295803669,0.915278392,0.830556783,6,3,0.113683981,2.343267691,7.681580755,6,24
NONHSAT129406.2,NONHSAT129406.2,lncipedia,lnc-SLC45A4-5-1_dup1,0.027481316,0.995910455,0.991820909,6,3,2.54336241,25.22248823,0.713648861,6,24
NONHSAT129417.2,NONHSAT129417.2,lncipedia,lnc-GPR20-3-2,0.095790874,0.992087369,0.984174738,6,3,0.021805363,7.236046132,2.48754633,6,24
NONHSAT129479.2,ENST00000520572,lncipedia,lnc-SLURP1-2-1_dup1,0.031003305,0.995081976,0.990163953,6,3,0.617408022,22.35720323,0.805109647,6,24
NONHSAT130378.2,NONHSAT130378.2,lncipedia,lnc-KLHL9-1-2_dup1,0.083185151,0.940016781,0.910025172,0,4,0.115876166,8.33258308,2.880259311,0,24
NONHSAT130753.2,NONHSAT130753.2,lncipedia,lnc-ANKRD18B-4-1,0.023745728,0.823281439,0.734922158,0,4,0.572896611,29.19039448,0.822188272,0,24
NONHSAT130766.2,NONHSAT130766.2,lncipedia,lnc-AL139008.2-1-6_dup1,0.102521017,0.999910309,0.999820618,6,3,0.131505541,6.76102523,2.662318123,6,24
NONHSAT130988.2,ENST00000629651,lncipedia,"lnc-TMEM8B-1-2_dup1,lnc-TMEM8B-1-2",0.074183856,0.975283875,0.95056775,6,3,0.110121128,9.343639142,1.926444261,6,24
NONHSAT131072.2,NONHSAT131072.2,lncipedia,"lnc-POLR1E-2-3_dup1,lnc-POLR1E-2-3",0.021919995,0.991952378,0.983904757,6,3,4.859919471,31.62168533,0.569229622,6,24
NONHSAT131102.2,NONHSAT131102.2,lncipedia,"lnc-RG9MTD3-4-1_dup1,lnc-RG9MTD3-4-1",0.032000266,0.940396992,0.910595487,0,4,3.986184175,21.66066923,1.107999007,0,24
NONHSAT131127.2,NONHSAT131127.2,lncipedia,"lnc-MCART1-4-1_dup1,lnc-MCART1-4-1",0.131877812,0.985827608,0.971655215,6,3,0.094435404,5.255980278,3.424670384,0,24
NONHSAT131174.2,ENST00000424993,lncipedia,"lnc-ANKRD18A-1-4_dup1,lnc-ANKRD18A-1-4",0.089710202,0.938114845,0.876229691,6,3,0.078202182,7.726514583,2.329640332,6,24
NONHSAT131268.2,NONHSAT131268.2,lncipedia,lnc-FAM75A4-2-12,0.085026874,0.81268051,0.719020765,0,4,0.328121273,8.152095266,2.944028402,0,24
NONHSAT131618.2,NONHSAT131618.2,lncipedia,lnc-RP11-195B21.3.1-2-4,0.065880186,0.982768528,0.965537056,6,3,0.019561064,10.52133002,1.710810323,0,24
NONHSAT131932.2,NONHSAT131932.2,lncipedia,"lnc-C9orf41-1-1_dup1,lnc-C9orf41-1-1",0.089278656,0.914170335,0.82834067,6,3,0.021767756,7.763862157,2.318433743,6,24
NONHSAT132729.2,NONHSAT132729.2,lncipedia,"lnc-FRMD3-5-1_dup1,lnc-FRMD3-5-1",0.141470935,0.956932126,0.935398189,0,4,0.111235576,4.899573047,4.898385996,0,24
NONHSAT133133.2,NONHSAT133133.2,lncipedia,"lnc-NFIL3-3-1_dup1,lnc-NFIL3-3-1",0.074324884,0.987793154,0.975586308,0,3,0.040883144,9.325909982,1.286737704,0,12
NONHSAT133451.2,NONHSAT133451.2,lncipedia,lnc-HIATL2-1-4_dup1,0.031265643,0.973121988,0.946243975,6,3,1.551796314,22.16961233,0.811922181,6,24
NONHSAT133827.2,ENST00000421655,lncipedia,lnc-TAL2-3-1_dup1,0.084667582,0.955865403,0.911730806,6,3,0.123788291,8.186689262,2.198691,6,24
NONHSAT134020.2,NONHSAT134020.2,lncipedia,"lnc-SNX30-2-1_dup1,lnc-SNX30-2-1",0.038050868,0.896860279,0.793720559,6,3,0.383610703,18.21633033,0.988124374,6,24
NONHSAT134966.2,NONHSAT134966.2,lncipedia,lnc-WDR34-2-4_dup1,0.109675784,0.861238648,0.791857972,0,4,0.087142688,6.31996556,3.797489048,0,24
NONHSAT135089.2,NONHSAT135089.2,lncipedia,lnc-C9orf50-1-1_dup1,0.043193662,0.928188745,0.856377491,6,3,0.5990411,16.04742784,1.121675086,6,24
NONHSAT135167.2,NONHSAT135167.2,lncipedia,lnc-ABL1-2-1_dup1,0.074214404,0.983469928,0.966939855,6,3,0.295703422,9.33979317,1.927237539,6,24
NONHSAT136239.2,NONHSAT136239.2,lncipedia,"lnc-ARHGAP6-5-1_dup1,lnc-ARHGAP6-5-1",0.032573489,0.992507017,0.985014034,6,3,0.034773804,21.27948819,0.845885006,6,24
NONHSAT136243.2,NONHSAT136243.2,lncipedia,"lnc-GPR143-3-5_dup1,lnc-GPR143-3-5",0.051881352,0.875646067,0.751292134,6,3,0.328821131,13.36023749,1.347281439,6,24
NONHSAT136776.2,ENST00000397254,lncipedia,"lnc-MAOA-5-1_dup1,lnc-MAOA-5-1",0.102926,0.921600241,0.843200482,6,3,0.148066595,6.734422604,2.672834935,0,24
NONHSAT137212.2,NONHSAT137212.2,lncipedia,"lnc-PHF8-1-1_dup1,lnc-PHF8-1-1",0.130296326,0.960957139,0.921914278,6,3,0.129227772,5.319775335,3.383601537,6,24
NONHSAT137573.2,NONHSAT137573.2,lncipedia,lnc-CHIC1-3-13,0.081026906,0.964604368,0.929208736,6,3,0.046607926,8.554531047,2.104148071,6,24
NONHSAT137611.2,NONHSAT137611.2,lncipedia,lnc-RLIM-2-8_dup1,0.049374383,0.822547132,0.733820698,0,4,0.097844856,14.03859942,1.70957225,0,24
NONHSAT137937.2,ENST00000392722,lncipedia,lnc-ARMCX6-4-1,0.040362878,0.995603267,0.991206533,6,3,0.390986762,17.17288784,1.048163836,6,24
NONHSAT138016.2,NONHSAT138016.2,lncipedia,lnc-RAB40AL-1-3_dup1,0.026742752,0.999786941,0.999573881,6,3,0.344151965,25.91906703,0.694469441,6,24
NONHSAT138297.2,NONHSAT138297.2,lncipedia,"lnc-DOCK11-1-1_dup1,lnc-DOCK11-1-1",0.070399045,0.992011713,0.984023427,6,3,0.013119745,9.845974134,1.828158368,6,24
NONHSAT139482.2,ENST00000434773,lncipedia,lnc-USP9Y-6-1,0.074324884,0.936216609,0.872433218,0,3,0.059149085,9.325909985,1.286737704,0,12
NONHSAT139628.2,ENST00000566193,lncipedia,"lnc-KDM5D-1-1_dup1,lnc-KDM5D-1-1",0.036779955,0.836354536,0.754531804,0,4,0.028761895,18.84578678,1.273494192,0,24
NONHSAT140768.2,ENST00000574212,lncipedia,lnc-NDE1-1-1_dup1,0.050114943,0.943833176,0.887666353,6,3,0.486480357,13.83114763,1.301410445,6,24
NONHSAT140971.2,NONHSAT140971.2,lncipedia,lnc-ANKS4B-1-4_dup1,0.083767886,0.858566067,0.717132133,6,3,0.136429258,8.274617117,2.175327238,6,24
NONHSAT141041.2,NONHSAT141041.2,lncipedia,lnc-C16orf52-1-3,0.022585259,0.97379395,0.960690925,0,4,0.12999211,30.69024718,0.782007387,0,24
NONHSAT141432.2,ENST00000567108,lncipedia,"lnc-NSMCE1-1-1_dup1,lnc-NSMCE1-1-1",0.087107577,0.96706686,0.934133721,6,3,0.044350196,7.957369524,2.262054055,6,24
NONHSAT142723.2,ENST00000570210,lncipedia,"lnc-CETP-1-2_dup1,lnc-CETP-1-2",0.137143189,0.997738104,0.995476209,0,3,0.210930497,5.054185971,2.37426958,0,12
NONHSAT143558.2,NONHSAT143558.2,lncipedia,lnc-PMFBP1-3-2_dup1,0.033217389,0.999745294,0.999490588,6,3,0.635727236,20.86699799,0.862606112,6,24
NONHSAT143674.2,NONHSAT143674.2,lncipedia,lnc-CLEC18B-5-1_dup1,0.118694451,0.950731175,0.90146235,6,3,0.029038703,5.839760615,3.082318127,6,24
NONHSAT144315.2,NONHSAT144315.2,lncipedia,lnc-KLHDC4-3-2,0.229097847,0.864848971,0.729697941,0,3,0.142292673,3.025550829,3.966219931,0,12
NONHSAT146396.2,ENST00000578214,lncipedia,"lnc-TBC1D28-1-1_dup1,lnc-TBC1D28-1-1",0.106036963,0.965913697,0.948870545,0,4,0.133708862,6.536844926,3.671496,0,24
